This is tfFromAbegg converting dss transcriptions to TF:
source version = 1.0
target version = 0.3
Run started: 2019-05-09T11:29:45.688150

                     => 
0                    => sp=unknown
ncmsdX2ms            => sp=suff cl=cmn gn=m nu=s st=d ps2=2 gn2=m nu2=s
ncmsdX3fp            => sp=suff cl=cmn gn=m nu=s st=d ps2=3 gn2=f nu2=p
ncmsdX3fs            => sp=suff cl=cmn gn=m nu=s st=d ps2=3 gn2=f nu2=s
ncmsdX3mp            => sp=suff cl=cmn gn=m nu=s st=d ps2=3 gn2=m nu2=p
ncmsdX3ms            => sp=suff cl=cmn gn=m nu=s st=d ps2=3 gn2=m nu2=s
ng                   => sp=subs cl=gent
ng00                 => sp=subs cl=gent gn=unknown nu=unknown
ngfsa                => sp=subs cl=gent gn=f nu=s st=a
ngmp                 => sp=subs cl=gent gn=m nu=p
ngmpa                => sp=subs cl=gent gn=m nu=p st=a
ngmpc                => sp=subs cl=gent gn=m nu=p st=c
ngmpd                => sp=subs cl=gent gn=m nu=p st=d
ngms                 => sp=subs cl=gent gn=m nu=s
ngmsa                => sp=subs cl=gent gn=m nu=s st=a
ngmsd                => sp=subs cl=gent gn=m nu=s st=d
nmpc                 => sp=subs cl=mult nu=p st=c
nmpcX3fs             => sp=suff cl=mult nu=p st=c ps2=3 gn2=f nu2=s
np                   => sp=subs cl=prp
npX0                 => sp=suff cl=prp cl2=unknown
npX1cp               => sp=suff cl=prp ps2=1 gn2=c nu2=p
npX2fs               => sp=suff cl=prp ps2=2 gn2=f nu2=s
npX2mp               => sp=suff cl=prp ps2=2 gn2=m nu2=p
npXd                 => sp=suff cl=prp cl2=d
pi1cp                => sp=pron cl=indp ps=1 gn=c nu=p
pi1cs                => sp=pron cl=indp ps=1 gn=c nu=s
pi2fs                => sp=pron cl=indp ps=2 gn=f nu=s
pi2mp                => sp=pron cl=indp ps=2 gn=m nu=p
pi2ms                => sp=pron cl=indp ps=2 gn=m nu=s
pi3fp                => sp=pron cl=indp ps=3 gn=f nu=p
pi3fs                => sp=pron cl=indp ps=3 gn=f nu=s
pi3mp                => sp=pron cl=indp ps=3 gn=m nu=p
pi3ms                => sp=pron cl=indp ps=3 gn=m nu=s
pii                  => sp=pron cl=intr
piiXd                => sp=suff cl=intr cl2=d
uc00                 => sp=numr cl=card gn=unknown nu=unknown
uc000                => sp=numr cl=card gn=unknown nu=unknown st=unknown
uc0s                 => sp=numr cl=card gn=unknown nu=s
